section,id,product_source_id,document_type,monthly_premium_krw,monthly_premium_usdc,expected_status,notes
source_document,doc_hanwha_general_direct_cancer_terms_202604,src_hanwha_general_direct_cancer_202604,terms,,,link_only,primary source document
source_approval,src_hanwha_general_direct_cancer_202604,src_hanwha_general_direct_cancer_202604,,12204,,approved,oncology risk_target
product_snapshot,prod_hanwha_general_direct_cancer_202604,src_hanwha_general_direct_cancer_202604,,12204,9.04,active,representative age34_female
