provider,raw_product_name,result_status,best_match_score,document_candidates,hashed_documents,document_types,next_action
농협손보,(무) 헤아림실손의료비보험2605,hashed,1,1,1,terms,
메리츠화재,(무) 메리츠 다이렉트 실손의료비보험2605,hashed,1,3,3,terms|business_method|summary,
흥국화재,(무)흥Good 다이렉트 실손의료보험(26.05),hashed,1,1,1,terms,variant_review_then_matching_review
DB생명,(무)e로운 암보험(해약환급금 미지급형)(2601),no_match,0.3333,0,0,,No disclosure row passed the product-name matching threshold.
미래에셋생명,온라인 암보험 무배당 [기본형],no_profile,0,0,0,,No carrier disclosure profile is configured for this provider.
미래에셋생명,온라인 암보험 무배당 [해약환급금이없는유형],no_profile,0,0,0,,No carrier disclosure profile is configured for this provider.
한화손보,한화 다이렉트 내가고른 암보험 무배당2604,no_profile,0,0,0,,No carrier disclosure profile is configured for this provider.
