source_id,provider,raw_product_name,product_variant,e_insmarket_product_code,condition_id,age,sex,birth_date,premium_text,monthly_premium_krw,quote_source_type,quote_hash_sha256,api_response_hash_sha256,guide_fee_description
src_hanwha_life_e_cancer_202604,한화생명,한화생명 e암보험(비갱신형)(무)(표준체형),standard,L01C009000009,age34_male,34,male,19920531,"14,840원",14840,carrier_quote,70223172335be09d0a58c6fc249d9687ef3c4419077cbe951d8f18779bfe3371,3248bdcca4a312bc68d57cf6d3c5143dccc908c6d5bfb91a68affb6553191826,"(기준: 남자 34세, 100세 만기, 20년납, 월납, 표준체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_202604,한화생명,한화생명 e암보험(비갱신형)(무)(표준체형),standard,L01C009000009,age34_female,34,female,19920531,"10,950원",10950,carrier_quote,c087a26ded062d6ec8414bcd378230df0521217c5f3f24ec2f48b9dbd225bb5b,de8a67814213755fa2621984264936c563195d012af5fe497171c37fdbfbbc0d,"(기준: 여자 34세, 100세 만기, 20년납, 월납, 표준체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_202604,한화생명,한화생명 e암보험(비갱신형)(무)(표준체형),standard,L01C009000009,age44_male,44,male,19820531,"18,680원",18680,carrier_quote,2ee05759f0369ccfe34c0d7f5034acc961fd7a78f5c78dd559490c0e964a6bfc,c43957cd87176365fd66fb856b3a98959662e1ecd571abe644b5255028671929,"(기준: 남자 44세, 100세 만기, 20년납, 월납, 표준체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_202604,한화생명,한화생명 e암보험(비갱신형)(무)(표준체형),standard,L01C009000009,age44_female,44,female,19820531,"12,170원",12170,carrier_quote,e8ab82d82bbc03d8b939273f8d9e3415e229767196ea88a47dd2e65fe390c1b6,01fb9c4cebb7b78945ad6ccb5163c45416602ef418f16a374ecfe2ed1ed12d8d,"(기준: 여자 44세, 100세 만기, 20년납, 월납, 표준체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_nonsmoker_202604,한화생명,한화생명 e암보험(비갱신형)(무)(비흡연체형),nonsmoker,L01C009000010,age34_male,34,male,19920531,"13,460원",13460,carrier_quote,ccaba48d12a1a8f8a870294f29eb86d9e14d23fb2ee842d8e0c5cfa061e3e669,70b5d497274eb0a7f8336802174bf67a87f6b70089bbdd99adb4c40f4488210c,"(기준: 남자 34세, 100세 만기, 20년납, 월납, 비흡연체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_nonsmoker_202604,한화생명,한화생명 e암보험(비갱신형)(무)(비흡연체형),nonsmoker,L01C009000010,age34_female,34,female,19920531,"10,850원",10850,carrier_quote,48a19dd803f5407417ed5fae402bbdcca52368ba53098ca7070c7d4a07d4e646,30037fd337aa5ad73e651089bb7064f2635e83c5df1e4a453c097a0744ea6554,"(기준: 여자 34세, 100세 만기, 20년납, 월납, 비흡연체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_nonsmoker_202604,한화생명,한화생명 e암보험(비갱신형)(무)(비흡연체형),nonsmoker,L01C009000010,age44_male,44,male,19820531,"16,820원",16820,carrier_quote,247f93bf437b89aafbe221303680adba5233440fb44cce0509d52e6b427657bd,e81b166150aed759dcb46b1f4b1d05574a84a69539e3a07af5a6e8cbe600ccad,"(기준: 남자 44세, 100세 만기, 20년납, 월납, 비흡연체형, 주계약가입금액 1,000만원)"
src_hanwha_life_e_cancer_nonsmoker_202604,한화생명,한화생명 e암보험(비갱신형)(무)(비흡연체형),nonsmoker,L01C009000010,age44_female,44,female,19820531,"12,060원",12060,carrier_quote,262ab3606a15b42788f1fea1c6789fc47bd2d7cff737d7639f10569e93209fb3,6241d4e97658bc9d7f6f578a9f009080acc9339ca7051db3fb1800adf8fa0342,"(기준: 여자 44세, 100세 만기, 20년납, 월납, 비흡연체형, 주계약가입금액 1,000만원)"
